"Location","Elevation (m)","Ascent (m)","Descent (m)","Distance (km)","Total Distance (km)","Total Ascent (m)","Total Descent (m)","Notes"
"Start: Te Araroa (SOBO)","149","0","0","0","0","0","0",""
"0 km","149","0","0","0","0","0","0","Cape Reinga to Ahipara"
"10 km","4","269","413","10.1","10.1","269","413","Cape Reinga to Ahipara"
"Twilight Campsite","21","24","7","2.4","12.5","293","421","km 12.5 | Category: Basic | Facilities: Non-powered/tent sites, Shelter for cooking, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Te Paki Recreation Reserve | Region: Northland"
"20 km","0","140","161","7.8","20.3","432","581","Cape Reinga to Ahipara"
"30 km","1","15","15","9.6","29.8","448","596","Cape Reinga to Ahipara"
"40 km","2","12","11","10.3","40.1","460","607","Cape Reinga to Ahipara"
"The Bluff Campsite","2","2","2","0.8","40.9","461","609","km 40.7 | "
"50 km","2","5","4","9.1","50","466","613","Cape Reinga to Ahipara"
"60 km","2","8","7","10.2","60.1","474","620","Cape Reinga to Ahipara"
"70 km","3","9","8","10","70.1","483","629","Cape Reinga to Ahipara"
"Hukatere Lodge Camp","2","0","1","0.5","70.6","483","630","km 70.6 | "
"80 km","2","11","10","9.8","80.4","493","640","Cape Reinga to Ahipara"
"Ngapae Holiday Park","4","6","4","7.1","87.5","500","644","km 87.4 | Facilities: Holiday park accommodation, campground, motorhomes, powered sites for campervans, tent sites for camping | Address: 6 Matai Street Waipapakauri 0486 | Phone: (09) 406 7298 | Hours: 9:00am - 6:00pm | Website: https://www.ngapaeholidaypark.co.nz/ | Categories: RVPark LodgingBusiness"
"90 km","3","1","2","2.5","90.1","501","647","Cape Reinga to Ahipara"
"100 km","0","6","9","10.1","100.2","507","656","Cape Reinga to Ahipara"
"Ahipara Holiday Park","7","7","0","1.5","101.7","514","656","km 101.5 | Facilities: Accommodation, tent and power sites for campervans and caravans, cabins and a self-contained lodge. | Address: 164-170 Takahe St, Ahipara | Phone: (09) 409 4864 | Website: https://ahiparaholidaypark.co.nz/ | Categories: LodgingBusiness"
"Ahipara","17","10","0","1.3","102.9","524","656","km 102.8 | Ahipara Superette: groceries and post shop. Cafe closes 2pm. First resupply after Cape Reinga."
"110 km","36","40","21","7.2","110.1","564","677","The Northland Forests"
"Kaitaia","19","19","36","6.1","116.1","583","713","km 116.0 | Pak'nSave, Bells Produce, two bulk-food shops. 14 km inland from Ahipara; hitch or bus."
"120 km","37","23","5","3.9","120.1","606","718","The Northland Forests"
"130 km","53","71","55","10.4","130.4","677","773","The Northland Forests"
"140 km","571","602","83","9.7","140.2","1279","857","The Northland Forests"
"150 km","409","499","662","10","150.2","1778","1518","The Northland Forests"
"Makene Road Campsite","41","64","433","5.3","155.5","1843","1951","km 155.2 | Phone: trishterran@gmail.com"
"160 km","20","16","37","4.8","160.3","1859","1988","The Northland Forests"
"Mangamuka Bridge Dairy","20","0","0","1.3","161.6","1859","1988","km 161.3 | Dairy and takeaways on SH1, Mon-Fri 7am-6pm. Phone charging. Snacks only."
"170 km","208","224","36","8.6","170.2","2083","2024","The Northland Forests"
"Blackbridge Road Campsite","300","360","268","7.8","178","2443","2292","km 177.8 | Category: Backcountry | Facilities: Water, toilet | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Blackbridge Road | Region: Northland"
"180 km","69","15","247","2.2","180.3","2459","2539","The Northland Forests"
"190 km","394","527","203","10","190.3","2986","2741","The Northland Forests"
"Puketi Recreation Area Campsite","324","190","259","8.3","198.6","3176","3001","km 198.4 | Category: Standard | Facilities: BBQ, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Shower - cold, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Puketi and Omahuta Forests | Region: Northland"
"Puketi Forest Hut","324","0","0","0","198.6","3176","3001","km 198.4 | Category: Serviced | Facilities: Cooking, Heating, Mattresses, Lighting, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Camping (booking required) next to hut included in The Trail Pass. | Place: Puketi and Omahuta Forests | Region: Northland"
"200 km","317","18","25","1.5","200.1","3194","3026","Mangakaretu to Kerikeri"
"210 km","206","42","152","10.1","210.2","3235","3178","Mangakaretu to Kerikeri"
"220 km","66","51","191","9.9","220.1","3286","3369","Mangakaretu to Kerikeri"
"230 km","76","203","194","10.1","230.2","3490","3563","Kerikeri to Waitangi"
"240 km","60","238","253","10","240.2","3727","3816","Kerikeri to Waitangi"
"Paihia","5","42","96","5.2","245.4","3769","3912","km 245.2 | Countdown Central plus a larger Countdown at Waitangi. Four Square on Williams Rd."
"Paihia Top 10 Holiday Park","5","65","65","3.3","248.7","3833","3977","km 248.5 | Facilities: Accommodation: powered caravan/campervan sites, tents, Kayak hire, dump station | Address: 1290 State Highway 11, Paihia, | Phone: (09) 402 7678 | Hours: 9:00am - 6:00pm | Website: http://www.beachsideholiday.co.nz | Categories: LodgingBusiness"
"250 km","9","27","23","1.5","250.2","3860","4000","Paihia to Ōpua Coastal Walkway"
"Opua","0","53","62","2","252.2","3913","4062","km 251.9 | Small general store, expensive. Ferry point."
"260 km","0","0","0","7.9","260.1","3913","4062","Waikare Connection - by Water"
"270 km","40","195","155","10.1","270.1","4108","4217","Waikare to Ngunguru"
"280 km","22","453","471","10","280.2","4561","4688","Waikare to Ngunguru"
"290 km","20","122","123","10","290.2","4682","4811","Waikare to Ngunguru"
"300 km","15","164","169","10","300.2","4846","4980","Waikare to Ngunguru"
"310 km","256","586","345","10.1","310.3","5432","5325","Waikare to Ngunguru"
"320 km","14","115","356","9.9","320.2","5547","5682","Waikare to Ngunguru"
"330 km","41","338","311","10.1","330.2","5885","5993","Waikare to Ngunguru"
"340 km","175","336","201","10","340.3","6220","6194","Waikare to Ngunguru"
"Ngunguru","2","126","299","7.8","348.1","6346","6493","km 347.6 | Four Square dairy and takeaway, plus cafes. Limited and expensive."
"Nikau Bay","3","4","2","1.3","349.3","6350","6495","km 349.1 | "
"350 km","3","32","32","0.9","350.2","6382","6527","Ngunguru to Pataua North"
"360 km","22","312","293","10.1","360.3","6694","6821","Ngunguru to Pataua North"
"370 km","53","288","257","10","370.3","6982","7078","Ngunguru to Pataua North"
"380 km","23","82","112","10.2","380.4","7063","7189","Pataua North to Whāngārei Heads"
"390 km","0","260","283","9.7","390.2","7323","7472","Pataua North to Whāngārei Heads"
"400 km","16","740","724","10.3","400.4","8063","8196","Pataua North to Whāngārei Heads"
"410 km","0","208","224","11.4","411.8","8271","8420","Bream Bay Walk"
"Ruakaka Reserve Motor Camp","1","3","1","7.7","419.5","8274","8422","km 418.0 | Facilities: motor camp | Address: 21 Ruakaka Beach Road | Phone: (09) 432 7590 | Website: http://www.motorcamp.co.nz/ | Categories: RVPark LodgingBusiness"
"420 km","2","4","3","2","421.6","8278","8425","Bream Bay Walk"
