"Km","Official km","Name","Type","Source","Section","Island","Trail elevation m","Off trail m","From previous km","To next km","Leg ascent m","Leg descent m","Bunks","Water","Booking required","Trail Pass","Phone","Address","Hours","Link","Detail"
"1.2","3072","Bluff","town","Resupply","Invercargill to Bluff","South","155","1363","0","33.3","0","0","","","","","","","","","Four Square. Trail end at Stirling Point."
"34.5","3038.7","Invercargill","town","Resupply","Invercargill to Bluff","South","2","1039","33.3","4.3","313","466","","","","","","","","","Pak'nSave, New World, Woolworths, Macpac and Kathmandu. Last full resupply."
"38.8","3034.4","Otatara","resupply","Resupply","Oreti Beach Track","South","6","696","4.3","26.8","5","1","","","","","","","","","Four Square, on the way into Invercargill."
"65.6","3007.6","Riverton","town","Resupply","Oreti Beach Track","South","2","64","26.8","2","19","23","","","","","","","","","FreshChoice/SuperValue on Palmerston St, cafes and takeaways. Holiday park."
"67.6","3005.6","Riverton Holiday Park","accommodation","Private","Tīhaka Beach Track","South","18","13","2","9.1","17","1","","","","","03 234 8132","43 Richard Street, Riverton","","https://www.rivertonholidaypark.co.nz/","Facilities: Holiday park accommodation. Units. Power Sites for tents, campervans and caravans. Zenbu wifi | Address: 43 Richard Street, Riverton | Phone: 03 234 8132 | Website: https://www.rivertonholidaypark.co.nz/ | Categories: LodgingBusiness"
"76.7","2996.5","Colac Bay","food","Resupply","Tīhaka Beach Track","South","7","1389","9.1","14.9","241","252","","","","","","","","","Colac Bay Bakehouse and Cafe with a camping ground; shop operating."
"91.6","2981.6","Turnbull's (Big Dam) Hut","hut","DOC","Longwood Forest Track","South","323","2","14.9","4.7","448","132","","","","Yes","","","","https://www.doc.govt.nz/link/d876515aabb342a8802cfaa1ba393388.aspx","Category: Basic/bivvies | Facilities: Heating | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Longwood Forest Conservation Area | Region: Southland"
"96.3","2976.9","Martin's Hut","hut","DOC","Longwood Forest Track","South","417","93","4.7","16.8","181","88","","Yes","","Yes","","","","https://www.doc.govt.nz/link/34a4ca458e6941ed82c08ae16cde8784.aspx","Category: Basic/bivvies | Facilities: Heating, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Longwood Forest Conservation Area | Region: Southland"
"113.1","2960.1","Otautau","resupply","Resupply","Longwood Forest Track","South","79","16000","16.8","17","77","415","","","","","","","","","Small supermarket, hotels with backpacker beds. About 12-16 km east of Merrivale Rd. Leave at Merrivale Rd."
"130.1","2943.1","Tuatapere","resupply","Resupply","Longwood Forest Track","South","630","26000","17","30.7","895","344","","","","","","","","","Small supermarket, several lodges. About 26 km west of Merrivale Rd. Leave at Merrivale Rd."
"160.8","2912.4","Nightcaps","resupply","Resupply","Birchwood to Merrivale","South","376","9000","30.7","38.7","784","1038","","","","","","","","","Four Square and a pub. About 9-16 km east of the trail near Birchwood. Leave near Birchwood."
"199.5","2873.7","Telford Campsite","campsite","DOC","Tākitimu Track","South","420","44","38.7","7.9","864","820","","","","Yes","","","","","Category: Backcountry | Facilities: Many tent sites, long drop toilet, stream | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Takitimu Conservation Area | Region: Southland"
"207.4","2865.8","Lower Wairaki Hut","hut","DOC","Tākitimu Track","South","475","11","7.9","13.5","640","585","","Yes","","Yes","","","","https://www.doc.govt.nz/link/c7e9e18107ee4c259d43b25bd9e3937f.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Takitimu Conservation Area | Region: Southland"
"220.9","2852.3","Aparima Hut","hut","DOC","Tākitimu Track","South","459","67","13.5","16.5","485","501","","Yes","","Yes","","","","https://www.doc.govt.nz/link/519327c2f64e42cc8c4d7a5edb6bad67.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Takitimu Conservation Area | Region: Southland"
"237.5","2835.8","Lower Princhester Hut","hut","DOC","Tākitimu Track","South","478","0","16.5","5.9","830","812","","Yes","","Yes","","","","https://www.doc.govt.nz/link/af4cc27f3af04b8db841c3df7e6dfc96.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Takitimu Conservation Area | Region: Southland"
"243.4","2829.8","The Key (Princhester)","food","Resupply","Mararoa River Track","South","340","3107","5.9","0","5","143","","","","","","","","","Sprig and Thistle coffee caravan at the SH94 junction, Tue-Fri 7am-3pm, Sat 8am-2pm."
"243.4","2829.8","Mossburn","resupply","Resupply","Mararoa River Track","South","340","20000","0","0","0","0","","","","","","","","","Four Square at 37 Devon St. About 20 km from the Princhester/SH94 junction. Leave at the SH94 / Princhester junction (The Key)."
"243.4","2829.8","Te Anau","town","Resupply","Mararoa River Track","South","340","35000","0","28.5","0","0","","","","","","","","","Four Square and FreshChoice, Outside Sports. 28-35 km off trail from SH94; shuttle or hitch. Leave at the SH94 / Princhester junction (The Key)."
"271.9","2801.3","Kiwi Burn Hut","hut","DOC","Mararoa River Track","South","520","928","28.5","16.4","229","49","","Yes","","Yes","","","","https://www.doc.govt.nz/link/cbed8342279e4cd0864e3eda1996a7bb.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Snowdon Forest Conservation Area | Region: Southland"
"288.3","2784.9","Mavora Lakes Campsite","campsite","DOC","Mararoa River Track","South","617","78","16.4","9.4","252","154","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/07540cfcf9404be8bb256d49ef81d0d9.aspx","Category: Standard | Facilities: BBQ, Boat launching, Fire pit/place for campfires (except in fire bans), Non-powered/tent sites, Water from tap - not treated, boil before use, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mavora Lakes Conservation Park | Region: Southland"
"297.7","2775.5","Careys Hut","hut","DOC","Mavora Walkway","South","625","71","9.4","6.2","106","98","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8857cedefbf448798c9a187563d03ce2.aspx","Category: Standard | Facilities: Heating, Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mavora Lakes Conservation Park | Region: Southland"
"303.9","2769.3","Boundary Hut","hut","DOC","Mavora Walkway","South","639","96","6.2","11.8","92","78","","Yes","","Yes","","","","https://www.doc.govt.nz/link/2f79a73587fd4cab99d33e18fef4453c.aspx","Category: Standard | Facilities: Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mavora Lakes Conservation Park | Region: Southland"
"315.6","2757.6","Taipo Hut","hut","DOC","Mavora Walkway","South","723","24","11.8","9.6","264","180","","Yes","","Yes","","","","https://www.doc.govt.nz/link/de9a0270401a4027bb4959f8a50f787d.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Mavora Lakes Conservation Park | Region: Southland"
"325.2","2748","Greenstone Hut","hut","DOC","Mavora Walkway","South","515","71","9.6","0.1","167","376","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/6046aa0f0dbc46438ad03f376b189eee.aspx","Category: Serviced | Facilities: Heating, Mattresses, Toilets - flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | More Info: Click on the Greenstone Campsite icon for information about camping outside the hut.  Booking is required. | Place: Greenstone and Caples Conservation Areas | Region: Otago"
"325.3","2747.9","Greenstone Campsite","campsite","DOC","Mavora Walkway","South","521","33","0.1","3.6","6","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/13416e4b5b1249bd97c7899b63b7d7ef.aspx","Category: Backcountry | Facilities: Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | More Info: Included in The Trail Pass, but booking is required. Penalty fees will be applied by Warden to walkers staying without a booking. | Place: Greenstone and Caples Conservation Areas | Region: Otago"
"328.9","2744.3","Slip Flat Hut","hut","DOC","Mavora Walkway","South","439","176","3.6","10.5","232","314","","Yes","","Yes","","","","https://www.doc.govt.nz/link/e29a887c9d0a46a5ad6d52f2e5f5f8fc.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Greenstone and Caples Conservation Areas | Region: Otago"
"339.4","2733.8","Glenorchy","resupply","Resupply","Mavora Walkway","South","319","25000","10.5","0","421","541","","","","","","","","","Glenorchy Hotel general store. About 1.5 hr drive from the Greenstone car park. Leave at the Greenstone car park."
"339.4","2733.8","Queenstown Holiday Park Creeksyde","caravan-park","Private","Wakatipu Track","South","313","673","0","0","0","7","","","","","(03) 442 9447","54 Robins Road, Queenstown","","http://www.camp.co.nz","Facilities: Holiday park, campground, motorhomes, campervans, tent sites | Address: 54 Robins Road, Queenstown | Phone: (03) 442 9447 | Website: http://www.camp.co.nz | Categories: RVPark LodgingBusiness"
"339.4","2733.8","Kinloch Campsite","campsite","DOC","Wakatipu Track","South","313","9035","0","0.1","0","0","","Yes","Yes","Yes","","","","https://www.doc.govt.nz/link/a8115b67bce049f3acdada4d3556c96d.aspx","Category: Standard | Facilities: Boat launching, Jetty, Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible, Toilets - non-flush, Toilets, Water supply | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Glenorchy area | Region: Otago"
"339.5","2733.7","Queenstown","town","Resupply","Wakatipu Track","South","310","74","0.1","1","0","3","","","","","","","","","FreshChoice, Four Square, outdoor stores. Full gear replacement."
"340.5","2732.7","Twelve Mile Delta Campsite","campsite","DOC","Wakatipu Track","South","309","9242","1","7","9","10","","Yes","","No","","","","https://www.doc.govt.nz/link/171fc7854c6a4620842508d18d4aa2de.aspx","Category: Standard | Facilities: Boat launching, Non-powered/tent sites, Water from tap - not treated, boil before use, Wheelchair accessible with assistance, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: No | Trail Pass discount (%): 0 | Place: Queenstown area | Region: Otago"
"347.5","2725.7","Frankton","town","Resupply","Wakatipu Track","South","330","126","7","21.3","66","45","","","","","","","","","Pak'nSave, New World, Woolworths. Cheapest resupply in the Queenstown basin."
"368.8","2704.5","Arrowtown","resupply","Resupply","Wakatipu Track","South","419","365","21.3","0","343","253","","","","","","","","","Small supermarket and a Night'n Day; limited and expensive. Hourly bus to Queenstown."
"368.8","2704.5","Arrowtown Hampshire Holiday Park","accommodation","Private","Wakatipu Track","South","419","743","0","13","0","0","","","","","64 3 4421876","12 Centennial Avenue, Arrowtown 9302","","https://hampshireholidayparks.co.nz/park/arrowtown-holiday-park/","Facilities: Accommodation: tents, powered/nonpowered caravans/campervans, dump station | Address: 12 Centennial Avenue, Arrowtown 9302 | Phone: 64 3 4421876 | Website: https://hampshireholidayparks.co.nz/park/arrowtown-holiday-park/ | Categories: LodgingBusiness"
"381.7","2691.5","Macetown Campsite","campsite","DOC","Motatapu Alpine Track","South","668","21","13","10.6","897","648","","Yes","","Yes","","","","https://www.doc.govt.nz/link/4c5ff1ac99ac4273a2ea55fe996d80ad.aspx","Category: Basic | Facilities: Non-powered/tent sites, Water from stream, Toilets - non-flush, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Macetown Historic Reserve | Region: Otago"
"392.4","2680.9","Roses Hut","hut","DOC","Motatapu Alpine Track","South","720","9","10.6","10.3","645","593","","Yes","","Yes","","","","https://www.doc.govt.nz/link/242f58eff93d491eb1444d0b34ab80d3.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Wānaka area | Region: Otago"
"402.6","2670.6","Highland Creek Hut","hut","DOC","Motatapu Alpine Track","South","845","6","10.3","6.1","1160","1034","","Yes","","Yes","","","","https://www.doc.govt.nz/link/d72edf5018d342eebda9e826275a8481.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Wānaka area | Region: Otago"
"408.7","2664.5","Fern Burn Hut","hut","DOC","Motatapu Alpine Track","South","750","13","6.1","23.9","579","674","","Yes","","Yes","","","","https://www.doc.govt.nz/link/acfd84b530ca4b289496ed832886bf61.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Wānaka area | Region: Otago"
"432.6","2640.6","Wanaka Top 10 Holiday Park","accommodation","Private","Glendhu Bay Track","South","280","940","23.9","1.6","456","926","","","","","0800 229 8439","263 Studholme Road, Wanaka","","http://www.campervanpark.co.nz","Facilities: Accommodation: tents, powered caravan/campervan sites, dump station | Address: 263 Studholme Road, Wanaka | Phone: 0800 229 8439 | Website: http://www.campervanpark.co.nz | Categories: LodgingBusiness"
"434.2","2639","Wanaka","town","Resupply","Glendhu Bay Track","South","280","104","1.6","11.8","2","3","","","","","","","","","New World, Four Square, Mediterranean Market for bulk, Macpac. Full resupply."
"446","2627.2","Albert Town","resupply","Resupply","Gladstone to Wānaka","South","280","259","11.8","13.4","78","78","","","","","","","","","Small Four Square and a patisserie, a short detour off trail."
"459.4","2613.8","Lake Hāwea","resupply","Resupply","Gladstone to Wānaka","South","362","257","13.4","10.5","110","28","","","","","","","","","Sailz general store with cafe, open to 9pm; FreshChoice on Bodkin St; Hawea Hotel for pub food."
"469.9","2603.3","Pakituhi Hut","hut","DOC","Breast Hill Track","South","1332","261","10.5","10.7","1093","123","","Yes","","Yes","","","","https://www.doc.govt.nz/link/8e37cc3356a1428aac8a963df53ca174.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from tap - not treated, boil before use, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hāwea Conservation Park | Region: Otago"
"480.6","2592.6","Stodys Hut","hut","DOC","Breast Hill Track","South","1083","5","10.7","13.6","464","713","","Yes","","Yes","","","","https://www.doc.govt.nz/link/6605c1f266eb4978a9062add12089e1d.aspx","Category: Basic/bivvies | Facilities: Heating, Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hāwea Conservation Park | Region: Otago"
"494.2","2579.1","Top Timaru Hut","hut","DOC","Breast Hill Track","South","907","26","13.6","13.3","1002","1178","","Yes","","Yes","","","","https://www.doc.govt.nz/link/38653eb26aa841a0b3d87066cf14f766.aspx","Category: Standard | Facilities: Mattresses, Toilets - non-flush, Water from stream, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Hāwea Conservation Park | Region: Otago"
"507.5","2565.7","Tin Hut (Private)","campsite","Private","Breast Hill Track","South","933","5","13.3","21","861","835","","","","","","","","",""
"528.4","2544.8","East Ahuriri Hut","hut","DOC","East Ahuriri Track","South","1004","349","21","18.9","423","353","6","","","Yes","","","","","Category: Backcountry | Facilities: 6 Bunks | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Ahuriri Conservation Park | Region: Canterbury"
"547.3","2525.9","Lake Middleton Campsite","campsite","DOC","Tekapo to Lake Ōhau","South","526","182","18.9","29.3","508","985","","Yes","","Yes","","","","https://www.doc.govt.nz/link/b9fbfc5a98724008b2b85928467800c6.aspx","Category: Standard | Facilities: Boat launching, Dump station, Non-powered/tent sites, Toilets - flush, Water from tap - not treated, boil before use, Toilets, Water supply | Bookable: No | Booking Required: No | Trail Pass: Yes | Trail Pass discount (%): 100 | Place: Twizel area | Region: Canterbury"
"576.6","2496.6","Twizel","town","Resupply","Tekapo to Lake Ōhau","South","465","530","29.3","11.6","199","260","","","","","","","","","Two Four Squares, Southern Alps Outdoors for gas. High Country Lodge holds parcels. Accepts resupply boxes."
"588.2","2485","Pines Campsite","campsite","Private","Tekapo to Lake Ōhau","South","541","22","11.6","10.6","124","48","","","","","","","","",""
"598.8","2474.4","Pylon Campsite","campsite","Private","Tekapo to Lake Ōhau","North","602","38","10.6","32.1","191","130","","","","","","","","",""
"630.9","2442.3","Lake Tekapo Motels & Holiday Park","caravan-park","Private","Tekapo to Lake Ōhau","South","727","973","32.1","0.3","267","142","","","","","0800 853 853","2 Lakeside Drive, Lake Tekapo","","http://www.laketekapo-accommodation.co.nz/","Facilities: Budget holiday park accommodation, backpacker accommodation, motorcamp, campervan sites, tourist flats, tent sites for camping and cabins with all the modern campground facilities | Address: 2 Lakeside Drive, Lake Tekapo | Phone: 0800 853 853 | Website: http://www.laketekapo-accommodation.co.nz/ | Categories: Motel RVPark"
